d;userID;ISBN;bookRating
35075;24186;1558539328;10
21463;144108;055311073X;8
66311;147058;1591050359;7
39194;30838;081257639X;5
23338;8253;2830202813;10
59835;101410;1591450136;10
37341;27617;1555215890;10
13049;13552;067102535X;7
9522;31556;080410526X;8
14117;44893;1573229326;6
49437;91341;078686317X;9
1215;4017;1571740562;10
42862;135458;1551669080;8
31040;93426;1551668777;5
25715;150525;1575662728;7
63672;127129;1550170872;10
29496;15602;156619024X;10
30284;82673;039568093X;8
10918;278851;1558531025;8
23726;150767;038550117X;2
13549;1348;1888740051;8
39550;31315;078531685X;10
51749;65877;1588518639;9
31768;69697;1551665956;9
17441;135317;1885211279;7
15934;127359;006447187X;7
14073;2033;1559274581;7
61812;112559;037376023X;8
61740;112083;159182334X;10
56408;88062;2266122126;8
11573;138995;006101351X;8
19886;86072;042514545X;3
33240;126604;087605498X;10
41069;148798;1557482640;10
24040;8782;059098182X;10
20528;49061;037570924X;8
26042;106692;034537682X;7
8580;123544;044021145X;3
58265;97874;1888767340;7
55514;84111;2070401669;5
8005;31261;037382503X;5
61120;108827;1570980152;8
34465;134797;1551669099;9
51306;117251;1400030773;8
43156;138198;1853260169;8
27368;12538;1564581772;10
65291;138441;089845865X;9
49459;55892;031202911X;5
12148;84018;068815252X;7
37452;55799;067178546X;4
5165;114544;1558745157;7
25621;11720;051770739X;8
22017;33933;034529873X;8
59975;101851;1565041631;6
62768;119858;1580050409;4
3040;111637;1400034779;7
18904;5730;088899088X;8
59962;101851;1565040570;9
41643;147965;155166819X;8
35506;24949;1895686393;1
18841;98391;1551668637;8
22426;7495;1551668254;6
54198;76741;1551923742;7
7365;93629;067165764X;9
26724;11993;019505928X;7
17961;88677;1551666014;9
31004;134797;1551667193;6
21964;59189;1551668440;8
58006;95932;096052102X;6
58909;98391;1594141460;9
5277;71207;044651652X;9
51709;65394;082175811X;4
58996;98391;1893896870;9
14323;2110;097089726x;10
22502;130636;156504827X;7
37298;27551;031023493X;10
27620;112083;1591823633;9
9800;75932;155166884X;7
49261;55492;1555703984;8
66013;143964;031284882X;6
65599;140555;1877741019;10
27673;81121;1931514917;8
53895;139828;038089517X;6
2421;82599;043936213X;10
18983;53220;042517364X;7
38567;35859;1565120892;2
243;123257;043935806X;10
5561;92152;044900371X;10
16430;102938;1558744029;9
18948;148560;067144901X;9
35089;24188;096559016X;7
56652;88872;1575666464;4
24612;45643;006097673X;9
57460;93426;192946200X;9
30700;92810;067101675X;8
53078;71551;1887178759;6
17146;37874;038533303X;8
49681;56586;1556590636;5
27269;12538;087406841X;5
57087;92979;8420428906;5
40171;31826;1883013984;10
27492;88733;068480378X;9
37600;99996;1853260290;7
32321;19332;080504146X;1
41332;73588;055329752X;8
38262;47974;1557045119;10
31827;141010;068483846X;10
59971;101851;1565041283;8
58678;98391;1570722668;10
10446;87141;048627263X;9
6357;31556;059035342X;8
58714;98391;1575668777;9
49540;56369;1579540910;5
31934;18038;055314331X;5
63057;123257;015241357X;8
10729;48494;155874262X;10
26538;111938;031208188X;9
28672;62485;1573225541;7
54166;76499;1854591835;10
20035;7312;1853260010;8
30279;16718;039568093X;10
32278;122793;1551667940;8
20914;21014;1573227889;10
49773;112765;067973385X;7
22752;8019;1576104176;8
7115;6242;039592720X;5
24225;16795;042510687X;8
7173;138379;039592720X;10
2637;43246;080410753X;7
55468;83637;1883991447;9
19950;135043;068480297X;10
53542;84427;1585675156;3
44202;38273;076450214X;10
58199;97208;1931561117;1
41;17975;038550120X;6
60096;102359;1558177191;5
25747;11203;1862045143;9
14771;88733;039914210X;8
20311;10447;1558746226;6
14979;78846;1568657803;7
38050;54576;1557787239;10
65344;138602;031285174X;8
45587;43052;1564783227;8
1597;125519;044023722X;8
24113;81924;1592400876;8
28075;16795;006018311X;7
37577;107784;067165876X;5
29612;141834;093045250X;10
57020;92652;1859677479;5
57264;93047;1879194732;6
31254;16795;1878399705;9
17187;3840;1551662906;8
59224;132663;1557882622;7
9555;72341;080410526X;5
54342;83239;1551430096;10
59716;100906;1587157020;8
5614;72575;044661162X;9
59937;101851;1558671080;9
25466;148863;157322930X;6
6730;48975;1551664992;2
28660;115180;1573222259;5
25986;98391;006019832X;9
13632;145529;1893910245;4
46456;46443;069811633X;7
44062;146564;060960385X;10
39006;48355;1929998457;8
23789;8557;002031275X;9
33013;101851;1560764309;9
59873;101731;1550390678;9
57729;94923;1565048105;7
51563;88729;1582341575;6
54110;76499;067975525X;9
61087;108379;019541120X;9
40697;98758;158063107X;4
17322;3897;1930353006;8
61646;150959;1565970446;7
23404;139206;006000925X;6
15017;27586;1558744630;10
2209;9776;031298328X;7
4102;34938;076790592X;9
740;14623;067102423X;10
33118;67775;037324472X;5
24030;46389;055356983X;9
58445;98391;039305098X;9
60153;102844;046508138X;7
19998;22145;1853260274;10
66045;144219;091847762X;6
7524;43481;006109921X;10
64549;131610;078686172X;9
19230;6242;156924703X;6
62555;117159;057111976X;10
24283;8936;1551662779;8
64622;132522;059043439X;9
53407;123430;1551666472;9
56940;92079;1565122232;6
29246;73240;038070580X;7
19299;114368;006440031X;5
54963;81404;1556591152;10
6586;11629;038082082X;9
6829;1129;014025448X;7
17729;105979;1880656124;5
33403;123790;1558531564;8
6419;74665;059035342X;9
56855;91478;1570612684;9
50531;60023;1566192749;8
20415;143497;015100692X;8
13092;49839;1573228567;10
65363;138844;031205405X;7
34022;98391;155166738X;10
60182;102967;038527954X;7
16322;137588;1551668998;9
39730;31466;1557253447;8
43272;88146;051509028X;9
27571;112083;1591820588;8
42719;138441;030712763X;9
25184;85554;078670621X;3
15844;110040;1579542085;8
39127;30746;067173783X;5
29302;147936;044024126X;6
44751;152496;158542160X;8
32536;117543;1563055597;10
46411;98391;059525070X;10
38672;30257;1573228516;9
37249;27472;039914112X;9
41711;69120;185585743X;8
32683;144455;038000321X;7
50377;59390;1577941691;9
1765;113661;014023313X;10
45215;97874;1400050588;9
19367;57278;034543885X;9
50947;60419;081603494X;10
52629;135265;055358457X;8
17073;148898;1551668912;5
62535;116840;083760463X;10
7494;145369;006016848X;5
27408;12572;1585673382;8
63461;126814;1567187250;5
5931;128738;051511779X;8
34958;23872;1565937287;5
63338;124720;158229190X;9
63742;127203;1555540139;7
28510;14374;1887166009;7
10675;278750;097162397X;10
34979;23872;1582970696;6
18836;55665;1551668637;8
59051;98391;1967317208;9
62998;122765;038523743X;8
4649;149089;006019491X;5
33669;114368;037322365X;5
57559;94347;1560974362;7
44734;98391;067003004X;9
5802;98547;039914739X;7
65316;138543;014034991x;9
23082;108132;159184021X;10
44705;39865;1565123107;5
37588;86145;1572971142;5
18828;140036;1551668483;9
60547;105374;1556703481;10
45898;43714;1570971544;10
9899;43359;1559029838;10
16143;13552;068480302X;9
12001;134508;042517736X;7
23135;104939;006109868X;10
47496;51229;1888173408;10
33981;66574;1582342156;6
59016;98391;1931201145;10
32508;19664;067162220X;8
29849;127481;1580628362;7
30967;98391;1551666847;10
65420;138883;1556612354;10
3279;98686;042516098X;9
46702;47758;006095521X;9
46468;46480;081257933X;8
49893;56959;157990002X;10
65486;139359;1878424351;4
1584;116800;044023722X;8
60727;121489;088419325X;7
53917;76352;044843198X;9
59957;101851;1565040422;8
1392;30594;044023722X;5
57662;94781;1565075129;8
1704;26713;014023313X;9
7479;96440;006016848X;8
10709;26361;155874262X;7
42943;55187;1576736423;7
51459;63956;1570360626;8
14992;50203;1576734013;8
38340;74743;068818071X;3
22866;28938;1878424424;10
34116;22563;006024254X;5
1305;135149;039480029X;10
16491;36606;1558746463;5
11031;54453;051513290X;6
3122;138441;1551668157;5
60009;101851;1575663996;3
4343;43246;067976402X;10
122;149069;038550120X;10
46632;134776;1551668173;6
28919;104665;1551665166;7
32407;110104;1575450429;10
54889;81015;078690514x;10
18765;5582;006093316X;8
13457;11724;089480829X;10
34368;23571;1570717141;8
60601;105517;185326895X;7
55961;87129;1558852832;9
51011;61007;059093502X;4
61767;112093;1567189350;7
5667;129099;1556611536;9
28319;25981;037310524X;5
6554;150661;059035342X;9
18363;98159;044651862X;6
20380;39345;015100692X;3
33058;146002;1565122259;6
42950;36606;157954486X;8
60032;101851;1891024043;10
17168;55641;158005059X;6
30080;50225;039332169x;9
63417;125203;2070373622;10
25419;45305;080411188X;10
23511;28634;1551669455;9
60740;106397;1567313205;9
64931;135265;067102681X;7
58369;98391;031230451X;9
16700;35079;1580082319;6
65657;141491;044021016X;8
60751;106753;1555532209;10
21729;7199;158567074X;5
16584;4017;1565122968;10
55690;85526;1859741606;8
14179;146778;1573229326;8
43259;142169;039473520X;8
38600;76168;006096975X;6
10683;1435;155874262X;10
12604;53220;039914563X;9
12297;13850;080411868X;9
22721;93047;1853265535;8
20766;145969;078688908X;5
58753;98391;1585674745;6
66020;143968;067973449X;8
628;16106;034541389X;7
56748;121264;067973421X;5
34539;113926;034540047X;8
28427;56554;044920099X;9
33693;64874;067156773X;7
9007;36748;055356451X;10
14422;48025;080411935X;8
10553;104636;014028009X;6
29772;135996;042517400X;7
56553;88733;078970790X;8
377;20172;059030271X;10
32835;20115;1567991890;8
53544;137688;1585675156;6
32316;131594;039914286X;10
46043;44535;067174870X;9
20696;95250;052594527X;9
24391;98391;1569473307;9
12637;4017;038533334X;10
21579;139287;067942525X;5
23269;127233;1551665301;6
6302;7072;059035342X;7
53178;72063;1565048741;8
52272;69042;059074075X;9
56104;87141;1888952512;8
33246;27169;1551668769;8
57139;93047;1555834329;8
21400;66789;006001203X;5
63002;134607;055324731X;9
24397;143629;1572242396;4
23428;98391;050552533X;8
55505;110040;055358037X;9
53754;75591;015100806X;10
32309;117290;1581346085;8
24004;114365;006052510X;5
55502;84024;055358037X;9
31977;25517;038529932X;6
61607;111272;1930859082;10
64756;134137;034543711X;8
10671;15945;1865085537;6
43762;78553;1561705683;10
54121;76499;087352778X;10
8888;81771;055305502X;10
26659;144315;006104444X;8
42513;36043;080506009X;8
33737;49980;1854592114;8
1649;147685;044023722X;7
60061;101942;1560449829;8
15917;120770;006098824X;6
17596;98890;1573227331;8
53430;127359;1564023060;7
48965;91692;042518546X;9
2976;67840;1400034779;10
39901;31556;1570642702;8
5287;81854;044651652X;8
56795;90776;1564782395;4
51214;62172;1573226599;9
36458;116713;067169863X;6
19653;26544;1551668459;7
4019;109009;051510566X;7
14449;150327;080411935X;8
64979;135277;8845205118;9
54466;95991;055326477X;8
5794;66680;039914739X;5
44272;124566;1400077354;6
51666;96357;055329895X;8
52544;69355;1885469004;7
10702;20468;155874262X;8
40620;110267;067174559X;8
45360;42162;1569319340;7
35802;25601;1557830983;10
44809;123500;158005031X;8
39212;30864;1878542281;9
54129;76499;1551114933;7
53177;72028;1878995049;5
15808;8245;038072975X;7
18554;5410;1410798860;10
45782;147385;3822814962;8
39108;30735;1878067559;9
54098;76499;048623052X;10
40050;80810;055325183X;8
7222;145689;1573221775;8
44649;54193;078686818X;7
63646;126814;1567180345;5
57412;121001;1578561272;7
5222;29855;044651652X;9
6504;119274;059035342X;10
43834;37586;068485466X;6
19790;46003;1573229628;9
27836;13127;1551664445;5
14651;2276;1893224902;10
49981;114988;067972477X;7
50022;57234;080761291X;10
2368;61798;042514755X;4
44482;89128;002025900X;7
27672;25677;1931514917;10
54943;151846;184149058X;8
23555;8292;1566190304;10
56382;123043;1565123964;8
40316;34300;185326024X;5
17601;114452;1573227331;7
5441;131260;034543479X;5
25509;26240;051513449X;9
9429;52614;067187098X;10
42522;36043;1586482734;6
31928;17986;1567314341;6
5361;142661;044651652X;1
52329;69078;039573441X;8
6498;116063;059035342X;8
2363;26583;042514755X;8
18063;4570;039571091X;7
6434;81865;059035342X;8
35696;25409;1575667290;8
24831;9747;055311767X;7
8383;8253;044021145X;9
384;43726;059030271X;7
34910;86170;067003116X;9
7510;74778;006109398X;5
47176;49889;037580532X;5
9182;99955;055357258X;7
26348;69389;1551669153;9
38626;30072;1591822548;8
62388;115537;1558744401;6
29720;126905;038073320X;9
57987;95903;080502803X;6
25725;112898;1561708755;7
8258;103000;042513699X;9
66096;145220;093389399X;6
61672;111953;030702377X;8
40963;33826;093105575X;10
59430;98887;055327001X;7
15162;136139;044900483X;8
24744;9440;1551108496;10
59557;99915;3442429552;8
60363;104399;067056172X;10
63120;123670;089542942X;8
34885;108485;055338015X;8
66633;149140;094178102X;5
51933;67547;1561700924;9
50138;58363;1555323057;5
26716;83496;006447108X;9
62120;114368;073943232X;5
52983;70666;1563975149;9
55231;82723;1892112124;10
52409;69078;9500722984;8
52740;98391;031226982X;9
4120;132375;076790592X;10
4266;4017;067976402X;10
30691;24194;067087616X;9
21421;113270;006000780X;9
42837;36606;1551666537;5
10378;278531;1558532315;2
43860;37654;1557738416;6
7052;46398;1878424319;6
36952;56425;8880293699;10
33619;106988;157062187X;8
12980;30898;067081976X;8
23765;55097;067082982X;5
65849;142973;1550743244;5
57819;121178;1592231497;8
35472;137118;055356918X;5
61583;111166;1578600618;8
10699;16718;155874262X;9
5308;103336;044651652X;6
38859;30321;1562925474;10
63399;125203;1855856093;9
20832;144038;1562827960;9
33496;21115;014004261X;9
52627;98391;055358457X;9
59604;100459;039513692X;6
17384;141010;1573226521;8
1329;277203;087701759X;10
12770;98391;1573229385;8
28658;88509;1573222259;7
28203;61854;055328990X;10
32458;94347;1580050972;6
19313;83363;014017737X;10
41461;80071;080504695X;8
28801;34786;038000917X;5
32959;51883;055344123X;10
18754;5543;1560766263;8
63478;125411;1570750262;5
54082;76499;014043268X;10
57970;95574;1580631312;10
6948;278209;014011291X;6
66409;147965;038089582X;9
9702;135321;1551664372;5
17013;95375;067088300X;10
58615;98391;155166691X;8
14215;134483;068483376X;6
29484;77868;1400033543;8
42157;117116;1556618670;5
14029;38273;067084487X;10
66544;148712;1878448528;6
39669;98391;1575669072;9
21176;88330;078688939X;7
2661;76482;080410753X;5
63558;126434;1590710290;10
37891;28594;1572972971;6
50535;77480;039914594X;7
51037;61265;222105587X;10
31806;17531;097228060X;7
60735;106331;1552782441;4
48094;52293;078946358X;6
29658;16005;093019313X;10
31342;80810;037322737X;5
34871;30072;1931514879;8
58867;98391;159414026X;9
14044;145501;1561706213;8
1548;100264;044023722X;5
60983;107784;1888914491;6
12796;40943;055321313X;10
55595;85083;1891279017;5
51614;64946;1556522843;7
3006;92152;1400034779;10
62028;113983;067155185X;5
59765;125203;2070528189;9
36204;37644;048627067X;9
35779;25601;044653143X;9
15841;3282;1579542085;9
63252;124078;1567186610;8
1993;87141;051511605X;8
4279;8290;067976402X;10
29980;37540;076790284X;6
8828;31652;051512608X;5
51391;63645;1560443650;9
22107;39502;042518272X;5
11183;127621;038542017X;9
61724;112083;055328634X;9
52798;70052;1895618827;5
48017;98391;038081787X;8
58413;98391;034546222X;10
17756;11718;074322535X;7
62790;138441;074352005X;8
54429;78722;1575420600;8
20524;23980;037570924X;7
23112;16106;006109868X;10
63095;123597;038547718X;9
15549;16795;068485080X;9
40961;148258;068485614X;6
30065;16634;038077982X;8
5156;89911;1558745157;9
3965;85619;067976397X;8
27353;131491;1558533729;7
3083;143464;1400034779;8
5687;81032;1558745017;10
43885;142524;015601422X;9
23888;107326;156389016X;9
13870;104334;1551669404;5
55344;82931;037303024X;6
38058;28938;1570629331;8
38692;30261;1582290725;9
47712;51742;006051275X;8
17660;51495;1551668653;5
2095;92603;006092988X;7
23167;75591;037570910X;6
12139;88229;067151699X;10
55830;86145;155802249X;8
64912;135176;067013497X;10
46601;47293;031242227x;2
36179;38056;038000741X;8
17179;60244;1400060052;8
55446;83605;1400032601;7
60534;121178;157912061X;5
60422;104604;1858289203;9
52327;138018;039309040X;5
33062;58643;1573225053;7
6578;278188;037327291X;5
12129;108243;067144378X;8
37912;28602;088780134X;7
18543;132180;055305340X;7
18513;125519;1885171080;9
686;104707;034541389X;5
42388;112897;1593080204;9
50995;135149;067169409X;8
427;102967;1883473004;5
514;121065;074343627X;9
26170;132541;044166251X;8
39728;87712;1551922444;10
11418;14521;006101351X;5
37778;28591;044661114X;7
62773;119884;1569716102;8
15342;24835;1573222453;10
57953;95452;1400032725;9
63990;128102;158597109X;5
48878;98391;039914725X;8
34823;57450;1843090325;9
64023;128543;1852306203;4
10409;91113;1931561648;10
12515;135821;038529929X;7
5479;76151;038533558X;10
6074;110973;068484477X;8
28528;112001;006018650X;10
51250;62464;1577484681;3
8626;149727;044021145X;8
18776;71853;067973225X;3
39934;49635;1574101277;7
19693;63956;1558538445;8
16254;45980;1551668394;5
54924;81064;055328763X;4
33077;26070;068971680X;5
8881;278418;051788710X;4
35233;24641;089659419X;8
43851;37644;1566091594;5
24050;103187;078689007X;6
20874;80071;1571430148;7
30274;34592;037541326X;7
11050;4017;006000438X;10
49953;57002;1886910537;9
64009;128365;1880032929;7
52572;69627;1852423226;9
13466;21364;089480829X;1
44470;105536;1593080255;9
2866;123567;1400031354;8
1670;65190;037541309X;8
50010;74588;1565922840;9
65897;143175;1570960151;8
50779;88733;1880188791;6
354;52614;1551666308;8
54927;125051;038079344X;10
55577;84897;1561841587;4
25335;28594;159182396X;7
418;276984;059043649X;9
7647;149120;030712908X;5
8939;132171;055327824X;10
12813;93621;055321313X;10
26555;38781;038079828X;5
38121;85526;019282760X;8
4507;130014;067976402X;8
48351;147037;037322740X;5
65659;141491;1575663864;8
58110;96448;1567313051;6
56477;88412;1550225774;8
8493;63865;044021145X;8
27652;12824;193151416X;10
4334;37712;067976402X;9
5753;72204;039914465X;2
15863;105986;006109157X;6
56781;95932;031213407X;7
21840;7286;1562313010;5
58162;96913;1568303807;5
48627;69568;1565048261;5
4398;80683;067976402X;10
28689;48025;1575661772;7
58744;98391;1579548326;9
65274;138307;1567187218;9
16067;22045;044022313X;8
50160;58482;1573921661;10
49601;115919;1401201369;8
28157;29855;051511992X;6
66062;144555;1557041768;7
44398;100355;038081336X;6
8861;126693;051512608X;10
33399;105517;1558531564;7
12141;123700;067151699X;10
18318;32955;044651862X;7
44297;57105;1853260258;9
48757;53545;1561380911;7
17277;92658;038079487X;5
31901;17890;1562472291;5
29390;147687;1559705841;5
27505;12824;1560974109;6
17750;30263;034545071X;9
34210;23135;3446192654;6
7556;126421;006109921X;8
4105;72966;076790592X;8
56593;88733;1572316306;8
55519;84111;2070513416;5
21564;56212;067942525X;8
44434;38887;1558851070;7
64007;128362;067944629X;5
27790;138844;1887317031;9
269;147752;043935806X;10
60380;104429;057003230X;10
14124;63306;1573229326;7
48564;152582;006100717X;7
13143;31393;1578562333;8
28731;14456;1550130544;8
2187;121251;014100018X;9
25754;20336;087113795X;9
4805;110912;055328942X;10
22514;81298;1558747613;5
19254;61208;1894294424;10
49738;56856;1557044902;8
41497;35532;158574154X;8
13;77480;034545104X;8
17349;127826;031205436X;6
48032;52199;050552337X;9
39556;114734;078760156X;7
3831;18112;034539657X;8
62744;119749;073641116X;10
32176;79266;1551669587;6
27500;57070;067103264X;5
49862;56959;1559946695;10
23666;69971;038079439X;9
39253;59172;042513329X;10
43773;37400;048627263x;7
12679;88160;038533334X;8
21779;118715;1573223328;10
25286;130258;1561797111;8
63634;126736;082173444X;6
18737;5543;014070731X;7
43910;37712;1570981493;7
32522;19664;067973239X;9
49791;56959;039473260X;10
5097;277984;1593080549;10
42418;54335;1880418568;9
15066;4017;1558746161;10
2679;95364;080410753X;8
65734;142174;069100515X;7
46215;88840;006019409X;5
56557;88733;091472861X;9
52789;98391;052594821X;9
47647;51450;1590887921;8
26547;118489;038077013X;2
63671;127129;1412000831;7
46857;139524;1569319626;10
26281;112559;087596480X;5
29827;16106;1580084680;10
58749;98391;1582344604;8
25340;139524;1591823978;7
29914;88677;155166674X;8
58774;98391;1590522095;10
2344;120125;039304016X;8
60493;105054;1570821534;5
22291;97160;1575663309;6
4244;70415;088396631X;10
50132;135043;055310893X;10
53128;71831;034536631X;8
29144;15049;094180741X;10
6748;123883;1551665344;5
52934;70594;014200264X;6
15030;71831;1558744630;6
19291;21014;006440031X;10
27653;12824;1931514178;10
25705;48483;038072751X;10
5525;101620;1551669609;7
55857;86336;1893956237;8
6035;75635;068484477X;8
58573;98391;096603712X;9
4353;51364;067976402X;8
29378;94347;1556704518;7
59947;101851;1564772659;6
35138;24194;189322466X;8
311;73056;088365721X;8
53104;95316;1553373863;9
38850;30319;080699505X;7
32612;19760;074340050X;9
55135;144120;068481823X;7
33689;21364;044017581X;6
32775;20060;1850150826;8
59455;99032;076073979X;8
64361;129851;1582401748;10
46742;147141;1582340242;6
3370;37950;044022165X;7
10420;143415;1931561648;9
53009;70953;047112351X;6
33318;47316;045120915X;7
13288;55712;014131088X;10
59741;100906;207036805X;6
59578;100119;9505063628;9
34408;23582;1551666251;8
63457;125203;2890525740;8
49777;56959;006092554X;10
20295;60040;1558744592;9
34448;126693;1551668866;10
54861;80768;1555843093;5
30270;16665;1561792802;5
38285;140036;1577782100;8
18675;116249;014034991X;9
40202;42931;1573222135;4
65073;136139;1573221619;5
40099;73548;039951516X;5
31344;16908;037327307X;8
60042;101851;4770028601;10
61798;132663;1561706361;8
22729;80515;042507160X;10
51755;98391;1575667878;9
8237;44728;042513699X;8
55653;85526;012643140X;10
3528;18082;051512219X;8
5663;63918;1556611536;5
4296;18311;067976402X;8
34089;104812;038532720X;6
12071;83287;055356160X;5
34822;50090;1843090325;9
59027;98391;193169656X;9
29015;14698;1567404928;7
56488;88634;1558706356;10
53013;70999;067158037X;10
45203;41450;067144722X;10
36224;26435;039457236X;7
20781;125779;082177462X;8
58767;98391;1590520319;9
14415;31556;080411935X;8
2821;37974;1400031354;10
13636;1475;1587214768;8
29092;118489;051513239X;6
56135;87302;1841954667;10
36239;104665;038549128X;10
16446;36622;155874424X;9
18614;93355;1551667371;8
13181;129349;038531258X;7
35190;24540;034542316X;8
34200;38273;067172519X;10
29790;19707;1573220221;5
18486;130049;1558746986;8
53521;74026;1588370054;6
34904;23872;044815689X;7
32502;19664;055323224X;8
63686;127137;1567921914;8
46086;129716;1884910033;10
9434;123883;067187098X;5
29020;143175;1570424373;8
1749;92156;014023313X;7
44889;87964;067189952X;5
407;16795;1572971835;8
17318;151663;038079487X;6
8633;16795;044021422X;6
46505;46909;060601733X;10
5043;136071;038097584X;10
45217;41586;1567311555;9
7029;278253;1565611489;9
29993;16795;1555216412;8
64265;129665;1568655851;6
31081;117188;1551668947;8
62466;116183;1580170676;7
58908;98391;1594141452;8
61752;112083;1931514593;8
36353;114368;006108445X;5
16897;60240;1573225517;8
17867;98391;037319692X;10
11603;89851;1573225126;8
5228;31683;044651652X;10
203;86849;043935806X;8
34069;110973;051513175X;8
21608;31609;1400042070;6
2959;49212;1400034779;8
12914;805;1566193966;8
23018;119575;1551669498;8
24548;88249;038531177X;9
9045;120030;055356451X;8
52725;107326;1563891050;9
35902;25804;1550500155;9
33821;44893;076111940X;5
54661;79266;1551668955;9
52998;70931;1561582948;5
17606;121200;1573227331;8
65683;141902;006098712X;10
63287;124310;1568848579;8
24078;18095;1571456988;10
10849;150316;1558745718;5
55660;85526;067903515X;8
11882;72954;1573225789;9
61756;112083;4766111745;7
50472;59971;074325998X;5
10230;23699;1853260053;7
48516;52917;1575843358;3
62686;118848;1569718679;4
19672;147965;1551668459;3
3283;104665;042516098X;6
63346;124876;1568952570;10
45938;43807;067165361X;9
29861;16137;1401902154;8
24809;9660;1568846444;7
63692;127171;1857821254;8
8839;61028;051512608X;8
35528;115503;044023512X;10
56138;96357;080707098X;8
61976;113519;1888048085;9
49996;96721;1573226955;6
26318;112761;1551668246;8
48810;54206;1887128794;7
34428;143976;1582342113;7
22522;7722;044021632X;5
12751;753;074141127X;10
32749;20060;074342431X;6
13068;74603;067102535X;9
44072;117123;034544244X;7
15852;3328;051604642X;9
18371;108836;044651862X;7
66309;147058;1588513262;5
9554;70666;080410526X;9
26814;101851;1561381527;9
1234;29526;1573221856;8
35199;111269;1400040272;6
15653;128049;044661064X;5
52011;67952;155369452X;10
35424;36606;1570642575;10
30057;16634;023108028X;8
27825;80810;1551667010;8
56825;138381;096520443X;8
58988;98391;1893896331;9
2047;103688;002542730X;8
62207;114655;1565610520;7
10402;68185;1931561648;7
66081;145003;1559702117;7
21144;13552;067942573X;8
63653;126912;1569470499;8
15519;146057;042518403X;8
12245;3840;193156146X;10
39869;125692;089375403X;8
33920;21867;1559705620;8
35684;98861;1566192951;10
32076;18323;1577193563;9
2243;89057;031298328X;5
63965;141511;038081322X;6
37246;60244;1587493705;8
59677;100906;081181503X;8
48611;130636;1565048040;7
46360;46145;1858547199;10
33952;22062;1400075254;9
49946;56965;187892303X;10
36241;152651;038549128X;6
56172;99347;038546889X;10
65576;140069;093004469x;6
54598;78846;1582342849;7
12623;728;067175145X;5
11739;14422;068484267X;5
62652;118533;1400010640;7
46847;73691;006105481X;6
64795;134784;1559705051;3
61034;108243;059086632X;9
4942;18203;034540288X;8
5028;130224;034540288X;5
13635;1473;1587991039;10
20105;54527;037570485X;10
36228;62272;074320512X;8
63645;126814;093727481X;5
51508;64241;1555173497;10
1858;117255;014029628X;5
12729;66523;068983571X;7
11846;10314;1573225789;8
60868;107241;2010054903;9
9251;119248;059045367X;8
35445;74493;1858547628;8
14219;140255;068483376X;9
9413;59172;067175937X;8
49026;55187;1576831280;8
35462;24933;050552208X;7
55260;88733;1558599177;8
17001;75591;067088300X;9
640;40095;034541389X;9
33989;86392;1880418592;10
51500;107784;067100395X;5
37383;29885;055380250X;4
45714;43246;156947284X;9
23736;59172;042511984X;9
27248;36256;084233226X;9
17613;128938;1573227331;8
21337;57725;1401300316;10
17880;4385;037329056X;8
55834;86189;1563051184;10
5972;22074;068484477X;8
45531;96448;059043053X;9
4138;138543;055323370X;9
52826;70183;1858684579;6
21576;118628;067942525X;9
24184;129851;076270327X;7
16869;3569;1567315658;1
13024;76151;067101420X;10
19686;6251;1555913458;9
58257;97874;1881273652;5
39428;81540;031227856X;5
20068;6532;1853260770;9
34854;23768;1885222718;7
15583;2977;1573228834;10
16114;92724;060980619X;8
64894;135149;1575667568;7
6356;31393;059035342X;10
5054;35109;1573221112;9
52676;102702;1551667592;10
42096;143253;089565671X;10
45094;40958;2266071106;5
34199;38023;067172519X;10
40799;135265;037379097X;8
29976;112001;055321358X;10
25110;34967;1551666650;7
21104;6792;1930722109;8
7706;51986;034530988X;10
11914;119541;1573225789;9
26182;35445;044990668X;7
2612;15686;080410753X;6
44548;39488;1567183417;5
58830;98391;1591051266;9
28366;87302;1592400388;10
46777;48025;051508932X;8
14040;135149;1561706213;8
26905;15049;1558748903;8
8455;41589;044021145X;9
14186;2041;068483376X;1
49903;56959;158621084X;10
17558;55490;055357325X;10
47329;114368;044900256X;5
49296;121292;1576739899;10
9462;69078;068416325X;9
62881;121176;037323015X;6
31734;17190;1878685236;10
4270;6242;067976402X;8
58344;98391;031220938X;9
33025;20254;1560254742;10
15046;125203;1558744630;10
45125;104665;1572291095;7
45422;116005;055214262X;10
35609;25630;155634127X;8
56953;92187;159286340X;10
4833;53664;051512317X;9
43584;95316;1583940537;10
53126;71800;1580050301;7
39818;59504;039483609X;10
41200;34588;080651390X;7
13582;94772;037542217X;9
36889;26586;067943125X;7
15333;150896;1561003913;7
51590;64769;1584855193;10
60499;105058;1552782603;4
47975;52044;081921552X;9
43396;36836;1563151677;8
31272;116904;1878424114;8
14165;123095;1573229326;8
66754;150124;1576730948;10
22005;116506;006091565X;5
38828;98391;155166920X;8
5256;55492;044651652X;7
16531;124048;1558747060;8
33904;45113;037371128X;10
33167;60031;076111937X;9
63652;126911;055358247X;8
7536;78015;006109921X;7
22676;26153;1551668432;9
20593;49314;038572179X;5
16918;152645;1573225517;7
45343;125519;1565117794;10
43781;37424;159129066X;10
33641;36256;1881273156;10
40706;32793;2010178750;7
17166;3827;158005059X;10
6327;22625;059035342X;10
